SRNO,datetime,HEATNO,GRADE,SECTION_IC,INJ1_QTY,INJ2_QTY,BSM,SKULL,BP,HBI,OTHERS,SCRAP_QTY,PIGIRON,DRI1_QTY,DRI2_QTY,TOT_DRI_QTY,HOT_METAL,Total_Charge,Hot_Heel,DOLO,DOLO1_EMPTY,TOT_LIME_QTY,TAP_TEMP,O2ACT,ENERGY,KWH_PER_TON,KWH_PER_MIN,MELT_TIME,TA_TIME,TT_TIME,pow_on_time,TAPPING_TIME,E1_CUR,E2_CUR,E3_CUR,SPOUT,LAB_REP_TIME,C,SI,MN,P,S,CU,CR,NI,N,OPEN_C,TAP_C,IT_KG,BUCKET_NO,STATIC_WT,LIME,O2SIDE1,O2SIDE2,O2SIDE3,PREV_TAP_TIME,TAP_DURATION,LM_WT,Production
1,01-09-2023,44664,38MnSiVS6,C,0.018703965,0.1397535,2,0,2,0,2,6,0,10.13952,5.009328,15.14885,42.484,63.63285,10,2.726383,2.000416,3.655273,1627,584.3806,10623.58,153.8916,-1,40.25000001,0,56.1,01-09-2023 00:28,01-09-2023 01:27,221.5,223.5,250.4,304.1,01-09-2023 01:13,0.0781,0.0015,0.0165,0.0085,0.0765,0.0048,0.0671,0.0202,0.0034,0.4832,0.0781,162.1046,1,7.4,0.9288902,1028.966,803.6121,814.6359,NULL,281,4.488976,55.146
2,01-09-2023,44665,38MnSiVS6,C,-0.001535675,0.09176397,2,0,2,0,2,6,0,7.953004,5.022605,12.97561,46.901,65.87661,10,2.475515,1.976062,2.979879,1648,725.0598,10639.17,155.1429,-1,40.25000001,14.13333333,56.1,01-09-2023 01:41,01-09-2023 03:16,212.5,215.5,246.9,299.3,01-09-2023 02:11,0.394,0.0018,0.0309,0.0145,0.0954,0.0053,0.0497,0.0292,0.0033,0.394,0.394,137.4761,1,8.7,0.504364,832.6849,749.40455,884.1646,01-09-2023 01:27,265,4.484111,53.35
3,01-09-2023,44666,AISI430L,C,0,0.03145288,2,0,2,0,2,6,0,5.042582,5.5084785,5.042582,38.597,66.03005,10,1.500372,1.722951,3.142967,1616,436.7104,5616.02,107.2997,-1,30.46666667,12.53333333,43,01-09-2023 03:29,01-09-2023 03:59,231.7,228,253.8,312.2,01-09-2023 03:53,0.326,0.0039,0.0331,0.01,0.0516,0.0055,0.0826,0.0264,0.0033,0.326,0.326,133.76555,1,8.7,1.642595,631.7444,665.3335,518.7522,01-09-2023 03:16,177,4.464656,51.872
4,01-09-2023,44667,38MNSIVS5,C,0.06063489,0.08252295,2,0,2,0,2,6,0,14.38923,5.003016,19.39224,43.513,68.90524,10,2.507358,1.52006,3.640719,1595,504.7062,12417.53,177.127,-1,38.23333333,11.53333333,49.76666666,01-09-2023 04:11,01-09-2023 04:49,234.4,232,262.7,319.9,01-09-2023 04:43,0.0506,0.0016,0.0182,0.009,0.0685,0.0053,0.0407,0.0209,0.0033,0.0506,0.0506,136.9091,1,7.2,1.133362,740.4547,784.2643,635.3218,01-09-2023 03:59,362,4.565175,56.189
5,01-09-2023,44668,38MNSIVS5,C,0.018703965,0.07425415,2,0,2,0,2,6,0,13.28093,5.019905,18.30083,44.944,69.24483,10,2.014973,2.002651,2.527128,1623,508.9703,10904.37,157.9317,-1,33.08333333,16.26666667,49.35,01-09-2023 05:05,01-09-2023 05:38,240.5,233,263.3,323,01-09-2023 05:34,0.1671,0.0006,0.0171,0.0112,0.0782,0.0049,0.0332,0.0169,0.0033,0.1671,0.1671,104.8565,1,5.8,0.5121555,804.2347,770.0343,524.2801,01-09-2023 04:49,245,4.653048,55.174
6,01-09-2023,44669,C 45,C,-0.000167969,0.05317761,2,0,2,0,2,6,0,11.60276,5.055017,16.65777,43.424,66.08177,10,1.756022,1.75079,2.787148,1622,471.6971,11169.56,164.5443,-1,33.16666667,8.866666665,42.03333333,01-09-2023 05:47,01-09-2023 06:20,243.2,233.6,263.7,322.3,01-09-2023 06:15,0.0525,0.0016,0.0183,0.0074,0.0853,0.0053,0.0281,0.0147,0.0034,0.0525,0.0525,113.9576,1,7.8,1.031126,800.3969,669.8057,550.0409,01-09-2023 05:38,281,4.478275,54.4
7,01-09-2023,44670,AISI430L,A,0,0.1157588,2,0,2,0,2,6,0,5.662697,5.5084785,5.662697,40.867,66.03005,10,1.208374,2.000129,2.218076,1678,460.2426,8642.425,160.8501,-1,44.23333333,14.9,56.1,01-09-2023 07:02,01-09-2023 07:46,241.4,235,266.7,317.2,01-09-2023 07:42,0.2272,-0.0002,0.0222,0.0102,0.0518,0.0049,0.0295,0.0155,0.0034,0.6289,0.2272,172.4426,1,7.2,1.009703,848.3054,753.6185,568.4395,01-09-2023 06:20,241,4.361544,48.68
8,01-09-2023,44671,38MNVS6,A,-0.001511688,0.05415051,2,0,2,0,2,6,0,11.36903,5.032486,16.40151,43.558,65.95951,10,2.502066,1.300425,3.868136,1623,426.9853,12152.34,184.7997,-1,40.25000001,25.00000001,56.1,01-09-2023 08:11,01-09-2023 09:26,236.3,228.5,262,313.3,01-09-2023 09:19,0.2058,0.0024,0.0188,0.0112,0.0694,0.0041,0.0387,0.0143,0.0033,0.2058,0.2058,174.2285,1,5.8,1.36607,906.8698,759.6631,670.9941,01-09-2023 07:46,240,4.728599,59.381
9,01-09-2023,44672,38MNVS6,A,0,0.03242554,2,0,2,0,2,6,0,9.289824,5.01596,14.30578,43.328,63.63378,10,2.467319,1.262278,3.489682,1609,512.6189,10373.98,161.5035,-1,38.76666667,29.06666667,67.83333334,01-09-2023 09:55,01-09-2023 10:33,248.9,239.3,268.5,323.9,01-09-2023 10:24,0.4094,0.0022,0.0276,0.0208,0.0731,0.0036,0.072,0.0161,0.0033,0.4094,0.4094,166.9243,1,6.6,1.022364,889.7231,811.5075,674.4873,01-09-2023 09:26,517,4.475681,59.381
10,01-09-2023,44673,38MNVS6,A,0,0.08171191,2,0,2,0,2,6,0,8.725097,5.012454,13.73755,46.073,65.81055,10,2.60262,2.000033,4.375685,1655,675.6943,7144.83,106.7818,-1,41.1,16.13333333,57.23333333,01-09-2023 10:50,01-09-2023 11:31,248.7,238.9,267.9,318.9,01-09-2023 11:20,0.16985,0.0015,0.0228,0.0224,0.0854,0.0032,0.07,0.0194,0.0031,0.5856,0.16985,209.9904,1,7.1,1.773066,999.4124,905.0687,562.2295,01-09-2023 10:33,561,4.366083,59.584
